,Date,Value,year,month
1,1/1/2000,4.02,2000,1
2,2/1/2000,4.02,2000,2
3,3/1/2000,4.02,2000,3
4,4/1/2000,4.02,2000,4
5,5/1/2000,4.02,2000,5
6,6/1/2000,4.02,2000,6
7,7/1/2000,4.02,2000,7
8,8/1/2000,4.02,2000,8
9,9/1/2000,4.02,2000,9
10,10/1/2000,4.02,2000,10
11,11/1/2000,4.02,2000,11
12,12/1/2000,4.02,2000,12
13,1/1/2001,3.77,2001,1
14,2/1/2001,3.77,2001,2
15,3/1/2001,3.77,2001,3
16,4/1/2001,3.77,2001,4
17,5/1/2001,3.77,2001,5
18,6/1/2001,3.77,2001,6
19,7/1/2001,3.77,2001,7
20,8/1/2001,3.77,2001,8
21,9/1/2001,3.77,2001,9
22,10/1/2001,3.77,2001,10
23,11/1/2001,3.77,2001,11
24,12/1/2001,3.77,2001,12
25,1/1/2002,4.31,2002,1
26,2/1/2002,4.31,2002,2
27,3/1/2002,4.31,2002,3
28,4/1/2002,4.31,2002,4
29,5/1/2002,4.31,2002,5
30,6/1/2002,4.31,2002,6
31,7/1/2002,4.31,2002,7
32,8/1/2002,4.31,2002,8
33,9/1/2002,4.31,2002,9
34,10/1/2002,4.31,2002,10
35,11/1/2002,4.31,2002,11
36,12/1/2002,4.31,2002,12
37,1/1/2003,3.81,2003,1
38,2/1/2003,3.81,2003,2
39,3/1/2003,3.81,2003,3
40,4/1/2003,3.81,2003,4
41,5/1/2003,3.81,2003,5
42,6/1/2003,3.81,2003,6
43,7/1/2003,3.81,2003,7
44,8/1/2003,3.81,2003,8
45,9/1/2003,3.81,2003,9
46,10/1/2003,3.81,2003,10
47,11/1/2003,3.81,2003,11
48,12/1/2003,3.81,2003,12
49,1/1/2004,3.77,2004,1
50,2/1/2004,3.77,2004,2
51,3/1/2004,3.77,2004,3
52,4/1/2004,3.77,2004,4
53,5/1/2004,3.77,2004,5
54,6/1/2004,3.77,2004,6
55,7/1/2004,3.77,2004,7
56,8/1/2004,3.77,2004,8
57,9/1/2004,3.77,2004,9
58,10/1/2004,3.77,2004,10
59,11/1/2004,3.77,2004,11
60,12/1/2004,3.77,2004,12
61,1/1/2005,4.25,2005,1
62,2/1/2005,4.25,2005,2
63,3/1/2005,4.25,2005,3
64,4/1/2005,4.25,2005,4
65,5/1/2005,4.25,2005,5
66,6/1/2005,4.25,2005,6
67,7/1/2005,4.25,2005,7
