Date,Value,year,month
1/1/2000,476.636,2000,1
2/1/2000,476.636,2000,2
3/1/2000,476.636,2000,3
4/1/2000,476.636,2000,4
5/1/2000,476.636,2000,5
6/1/2000,476.636,2000,6
7/1/2000,476.636,2000,7
8/1/2000,476.636,2000,8
9/1/2000,476.636,2000,9
10/1/2000,476.636,2000,10
11/1/2000,476.636,2000,11
12/1/2000,476.636,2000,12
1/1/2001,493.934,2001,1
2/1/2001,493.934,2001,2
3/1/2001,493.934,2001,3
4/1/2001,493.934,2001,4
5/1/2001,493.934,2001,5
6/1/2001,493.934,2001,6
7/1/2001,493.934,2001,7
8/1/2001,493.934,2001,8
9/1/2001,493.934,2001,9
10/1/2001,493.934,2001,10
11/1/2001,493.934,2001,11
12/1/2001,493.934,2001,12
1/1/2002,523.768,2002,1
2/1/2002,523.768,2002,2
3/1/2002,523.768,2002,3
4/1/2002,523.768,2002,4
5/1/2002,523.768,2002,5
6/1/2002,523.768,2002,6
7/1/2002,523.768,2002,7
8/1/2002,523.768,2002,8
9/1/2002,523.768,2002,9
10/1/2002,523.768,2002,10
11/1/2002,523.768,2002,11
12/1/2002,523.768,2002,12
1/1/2003,618.369,2003,1
2/1/2003,618.369,2003,2
3/1/2003,618.369,2003,3
4/1/2003,618.369,2003,4
5/1/2003,618.369,2003,5
6/1/2003,618.369,2003,6
7/1/2003,618.369,2003,7
8/1/2003,618.369,2003,8
9/1/2003,618.369,2003,9
10/1/2003,618.369,2003,10
11/1/2003,618.369,2003,11
12/1/2003,618.369,2003,12
1/1/2004,721.589,2004,1
2/1/2004,721.589,2004,2
3/1/2004,721.589,2004,3
4/1/2004,721.589,2004,4
5/1/2004,721.589,2004,5
6/1/2004,721.589,2004,6
7/1/2004,721.589,2004,7
8/1/2004,721.589,2004,8
9/1/2004,721.589,2004,9
10/1/2004,721.589,2004,10
11/1/2004,721.589,2004,11
12/1/2004,721.589,2004,12
1/1/2005,834.218,2005,1
2/1/2005,834.218,2005,2
3/1/2005,834.218,2005,3
4/1/2005,834.218,2005,4
5/1/2005,834.218,2005,5
6/1/2005,834.218,2005,6
7/1/2005,834.218,2005,7
8/1/2005,834.218,2005,8
